220,1
150,2
45,3
37,0
510,1
165,2
105,3
40,0
588,1
172,2
92,3
37,0
467,1
136,2
86,3
44,0
278,1
136,2
86,3
44,0
576,1
268,2
98,3
38,0
412,1
126,2
106,3
32,0
598,1
146,2
104,3
32,0
1508,1
224,2
78,3
41,0
1192,1
180,2
68,3
38,0
1322,1
204,2
72,3
38,0
886,1
175,2
92,3
41,0
458,1
186,2
72,3
39,0
104,1
116,2
100,3
30,0
1090,1
134,2
80,3
41,0
771,1
150,2
104,3
39,0
206,1
106,2
68,3
30,0
554,1
146,2
76,3
38,0
884,1
106,2
84,3
37,0
184,1
146,2
64,3
39,0
248,1
172,2
64,3
39,0
745,1
160,2
80,3
40,0
526,1
178,2
60,3
38,0
320,1
132,2
88,3
37,0
192,1
108,2
76,3
33,0
384,1
148,2
88,3
38,0
244,1
144,2
80,3
41,0
204,1
136,2
74,3
37,0
228,1
92,2
70,3
30,0
416,1
176,2
120,3
39,0
1054,1
144,2
88,3
38,0
636,1
164,2
76,3
38,0
1728,1
206,2
104,3
37,0
1016,1
182,2
80,3
34,0
218,1
149,2
92,3
33,0
220,1
172,2
94,3
38,0
260,1
160,2
72,3
38,0
206,1
132,2
80,3
39,0
140,1
112,2
59,3
40,0
814,1
143,2
61,3
38,0
1920,1
144,2
67,3
39,0
228,1
156,2
64,3
40,0
1348,1
100,2
44,3
37,0
484,1
129,2
50,3
37,0
188,1
112,2
62,3
37,0
340,1
138,2
86,3
39,0
492,1
164,2
100,3
39,0
788,1
156,2
56,3
37,0
244,1
124,2
62,3
37,0
714,1
174,2
84,3
38,0
2968,1
224,2
92,3
41,0
220,1
104,2
45,3
37,0
874,1
146,2
68,3
37,0
1528,1
188,2
88,3
41,0
187,1
141,2
45,3
37,0
1261,1
160,2
72,3
38,0
2334,1
179,2
98,3
39,0
216,1
126,2
84,3
41,0
2064,1
196,2
104,3
40,0
1140,1
188,2
47,3
39,0
233,1
91,2
43,3
37,0
983,1
104,2
71,3
39,0
608,1
98,2
57,3
39,0
256,1
85,2
47,3
41,0
810,1
106,2
62,3
37,0
1364,1
126,2
76,3
39,0
236,1
125,2
79,3
39,0
1293,1
166,2
94,3
37,0
2351,1
206,2
108,3
41,0
281,1
106,2
43,3
37,0
1140,1
191,2
83,3
39,0
710,1
148,2
62,3
38,0
221,1
93,2
39,3
30,0
504,1
122,2
58,3
33,0
786,1
151,2
76,3
37,0
327,1
89,2
45,3
33,0
1051,1
176,2
75,3
41,0
689,1
132,2
55,3
37,0
656,1
174,2
107,3
37,0
249,1
146,2
91,3
41,0
1064,1
203,2
123,3
39,0
727,1
165,2
97,3
39,0
1235,1
207,2
121,3
40,0
220,1
123,2
73,3
38,0
800,1
180,2
55,3
37,0
232,1
132,2
64,3
41,0
944,1
212,2
120,3
39,0
194,1
108,2
48,3
37,0
760,1
164,2
104,3
37,0
242,1
126,2
47,3
39,0
212,1
112,2
43,3
37,0
2604,1
160,2
64,3
38,0
320,1
168,2
56,3
40,0
210,1
132,2
72,3
39,0
1012,1
160,2
84,3
41,0
2424,1
176,2
98,3
40,0
192,1
118,2
72,3
37,0
596,1
148,2
80,3
38,0
196,1
128,2
98,3
33,0
376,1
164,2
45,3
33,0
